"id","nombre","descripcion","precio","stock","imagen","categoriaId","promocionId","especificaciones","marca","garantia"
6,"Gabinete NZXT H710","Gabinete premium para entusiastas",169.99,12,"gabinete_nzxt_h710.jpg",1,"6","Panel de vidrio templado, soporta placas ATX y EATX, diseño optimizado para flujo de aire, incluye 4 ventiladores preinstalados.","NZXT","12 meses"
7,"Refrigeración Líquida NZXT Kraken X63","Sistema avanzado de enfriamiento líquido con pantalla RGB",199.99,10,"refrigeracion_kraken_x63.jpg",2,"6","Radiador de 280mm, pantalla LCD personalizable, soporte para Intel LGA1700 y AMD AM5, flujo silencioso.","NZXT","12 meses"
8,"Procesador AMD Ryzen 7 5800X","Procesador de alto rendimiento para gaming y trabajo",349.99,8,"procesador_ryzen_7_5800x.jpg",3,"6","8 núcleos, 16 hilos, 3.8 GHz base y 4.7 GHz boost, 32MB de caché, compatible con DDR4 hasta 3200 MHz.","AMD","12 meses"
9,"Tarjeta Gráfica Nvidia RTX 3080","GPU de última generación para juegos 4K",799.99,5,"tarjeta_grafica_rtx_3080.jpg",4,"6","10GB GDDR6X, 320-bit, soporte para Ray Tracing y DLSS, PCIe 4.0, refrigeración avanzada de triple ventilador.","Nvidia","12 meses"
10,"Disco Duro WD Black 4TB","Almacenamiento masivo de alto rendimiento",149.99,20,"disco_duro_wd_black_4tb.jpg",5,"6","Interfaz SATA 6Gb/s, 7200 RPM, caché de 256MB, diseñado para juegos y aplicaciones exigentes.","Western Digital","12 meses"
11,"Monitor ASUS TUF Gaming VG27AQ","Monitor gaming de 27 pulgadas con HDR",429.99,7,"monitor_asus_tuf_vg27aq.jpg",6,"6","QHD, 165Hz, soporte G-Sync, panel IPS con certificación DisplayHDR 400.","ASUS","12 meses"
12,"Placa Base GIGABYTE X570 AORUS Elite","Placa base de alto rendimiento para AMD Ryzen",219.99,15,"placa_base_gigabyte_x570.jpg",7,"6","Soporte para DDR4, PCIe 4.0, refrigeración pasiva para el chipset, múltiples conectores M.2.","GIGABYTE","12 meses"
13,"Fuente de Poder Thermaltake Toughpower GF1 750W","Fuente modular con certificación 80+ Gold",129.99,18,"fuente_thermaltake_750w.jpg",8,"6","750W, eficiencia 90%, cables completamente modulares, ventilador ultra silencioso de 140mm.","Thermaltake","12 meses"
14,"Memoria RAM G.Skill Trident Z RGB 32GB","Kit de memoria RAM con iluminación RGB personalizable",199.99,12,"ram_gskill_tridentz_32gb.jpg",9,"6","32GB (2x16GB), DDR4 3600MHz, optimizado para plataformas Intel y AMD.","G.Skill","12 meses"
15,"Disco SSD Kingston NV1 1TB","SSD NVMe para alto rendimiento y almacenamiento rápido",99.99,25,"ssd_kingston_nv1_1tb.jpg",10,"6","1TB, NVMe PCIe Gen3 x4, velocidad de lectura/escritura de hasta 2100/1700MB/s.","Kingston","12 meses"
